order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,prev_temp,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,temp_conflict_real,non_pc_direct_switch_real
0020049981-000020,0020049981-000020,0020049981-000020,0020049981-000020,DC01,普碳,1500.0,1.2,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,17,1500.0,1.2,普碳,810.0,0.0,False,False,False,False,False,False,17,17,17,17,17,小辊线,False,False,False,False
0020050208-000020,0020050208-000020,0020050208-000020,0020050208-000020,DC01,普碳,1500.0,1.2,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,18,1500.0,1.2,普碳,810.0,0.0,False,False,False,False,False,False,18,18,18,18,18,小辊线,False,False,False,False
0020049964-000060,0020049964-000060,0020049964-000060,0020049964-000060,DC01-D,普碳,1500.0,1.4,810.0,24.0,156.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,19,1500.0,1.2,普碳,810.0,0.0,False,False,False,False,False,False,19,19,19,19,19,小辊线,False,False,False,False
0020049276-000020,0020049276-000020,0020049276-000020,0020049276-000020,SPCC,普碳,1500.0,1.43,810.0,24.0,105.44,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,20,1500.0,1.4,普碳,810.0,0.0,False,False,False,False,False,False,20,20,20,20,20,小辊线,False,False,False,False
0020050276-000060,0020050276-000060,0020050276-000060,0020050276-000060,DC01,普碳,1500.0,1.5,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,21,1500.0,1.43,普碳,810.0,0.0,False,False,False,False,False,False,21,21,21,21,21,小辊线,False,False,False,False
0020049981-000040,0020049981-000040,0020049981-000040,0020049981-000040,DC01,普碳,1500.0,1.5,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,22,1500.0,1.5,普碳,810.0,0.0,False,False,False,False,False,False,22,22,22,22,22,小辊线,False,False,False,False
0020049964-000070,0020049964-000070,0020049964-000070,0020049964-000070,DC01-D,普碳,1500.0,1.5,810.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,23,1500.0,1.5,普碳,810.0,0.0,False,False,False,False,False,False,23,23,23,23,23,小辊线,False,False,False,False
0020050208-000050,0020050208-000050,0020050208-000050,0020050208-000050,DC01,普碳,1500.0,1.5,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,24,1500.0,1.5,普碳,810.0,0.0,False,False,False,False,False,False,24,24,24,24,24,小辊线,False,False,False,False
0020049964-000100,0020049964-000100,0020049964-000100,0020049964-000100,DC01-D,普碳,1500.0,1.8,810.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,25,1500.0,1.5,普碳,810.0,0.0,False,False,False,False,False,False,25,25,25,25,25,小辊线,False,False,False,False
0020050208-000090,0020050208-000090,0020050208-000090,0020050208-000090,DC01,普碳,1500.0,2.0,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,26,1500.0,1.8,普碳,810.0,0.0,False,False,False,False,False,False,26,26,26,26,26,小辊线,False,False,False,False
0020050276-000020,0020050276-000020,0020050276-000020,0020050276-000020,DC01,普碳,1500.0,1.8,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,27,1500.0,2.0,普碳,810.0,0.0,False,False,False,False,False,False,27,27,27,27,27,小辊线,False,False,False,False
0020049964-000090,0020049964-000090,0020049964-000090,0020049964-000090,DC01-D,普碳,1500.0,1.75,810.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,28,1500.0,1.8,普碳,810.0,0.0,False,False,False,False,False,False,28,28,28,28,28,小辊线,False,False,False,False
0020049964-000050,0020049964-000050,0020049964-000050,0020049964-000050,DC01-D,普碳,1500.0,1.35,810.0,24.0,131.62,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,29,1500.0,1.75,普碳,810.0,0.0,False,False,False,False,False,False,29,29,29,29,29,小辊线,False,False,False,False
